DimInvestmentID,DimAccountID,InvestmentManagerID,Name,AssetClass,SubAssetClass,InvestmentRegime,IsPrimaryAccount,AsOfDate,NAV,Twr1Month,Twr3Month,Twr1Year,Twr3Year,Twr5Year,Twr10Year,TwrFytd,TwrYtd,TwrSince98,SINCE_INCEPTION,INCEPTION_DATE,AdjustedBegMV,TOT_MARKET_VALUE,DimPortfolioID,BenchmarkDimAccountID,Account,DimBenchmarkID,BenchmarkName,Twr6Month,Twr2Year,Twr4Year,Twr7Year
9993,116237,Marshall Wace,Marshall Wace EM,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.117232,-0.115724,-0.281141,-0.020667,-0.018069,0.010479,-0.117232,-0.271588,,9.0232,,64720020027,57346595506,12,89951,IX1F00274888,3510,MSCI EM,-0.216972,-0.078197,-0.020541,0.038819
9993,81515,Marshall Wace,Marshall Wace EM,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.117232,-0.115724,-0.281141,-0.020667,-0.018069,0.010479,-0.117232,-0.271588,,9.0232,,64720020027,57346595506,12,89951,IX1F00274888,3510,MSCI EM,-0.216972,-0.078197,-0.020541,0.038819
3984,12480,Acadian,Acadian EM Core,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.117232,-0.115724,-0.281141,-0.020667,-0.018069,0.010479,-0.117232,-0.271588,,9.0232,,64720020027,57346595506,12,89951,IX1F00274888,3510,MSCI EM,-0.216972,-0.078197,-0.020541,0.038819
2310,6352,UTIMCO,Public EM Passive,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.117232,-0.115724,-0.281141,-0.020667,-0.018069,0.010479,-0.117232,-0.271588,,9.0232,,64720020027,57346595506,12,89951,IX1F00274888,3510,MSCI EM,-0.216972,-0.078197,-0.020541,0.038819
6817,116117,Marshall Wace,Marshall Wace US 150-50,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,-0.093116,-0.250752,0.061597,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,664,MSCI United States,-0.208764,0.034767,0.06579,0.106987
6817,81395,Marshall Wace,Marshall Wace US 150-50,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,-0.093116,-0.250752,0.061597,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,664,MSCI United States,-0.208764,0.034767,0.06579,0.106987
761,81215,DE Shaw,DE Shaw US 130-30,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,-0.093116,-0.250752,0.061597,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,664,MSCI United States,-0.208764,0.034767,0.06579,0.106987
761,1012,DE Shaw,DE Shaw US 130-30,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,-0.093116,-0.250752,0.061597,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,664,MSCI United States,-0.208764,0.034767,0.06579,0.106987
188,5632,UTIMCO,MSCI US Passive,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,-0.093116,-0.250752,0.061597,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,664,MSCI United States,-0.208764,0.034767,0.06579,0.106987
8137,89358,Echo Street,Echo Street New World,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,-0.093116,-0.250752,0.061597,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,664,MSCI United States,-0.208764,0.034767,0.06579,0.106987
8137,82715,Echo Street,Echo Street New World,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,-0.093116,-0.250752,0.061597,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,664,MSCI United States,-0.208764,0.034767,0.06579,0.106987
6345,117137,Echo Street,Echo Street Select Plus,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,-0.093116,-0.250752,0.061597,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,664,MSCI United States,-0.208764,0.034767,0.06579,0.106987
6345,82175,Echo Street,Echo Street Select Plus,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,-0.093116,-0.250752,0.061597,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,664,MSCI United States,-0.208764,0.034767,0.06579,0.106987
1961,117017,Echo Street,Echo Street Select,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,-0.093116,-0.250752,0.061597,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,664,MSCI United States,-0.208764,0.034767,0.06579,0.106987
1961,82115,Echo Street,Echo Street Select,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,-0.093116,-0.250752,0.061597,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,664,MSCI United States,-0.208764,0.034767,0.06579,0.106987
2026,81935,Two Sigma,Two Sigma US 130-30,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.092729,-0.044646,-0.176272,0.077002,0.086162,0.113854,-0.092729,-0.246207,0.070999,11.481,,360964000000,356041000000,12,98043,IX1F00003858,2524,Russell 3000,-0.204201,0.042254,0.064842,0.108996
