DimAccountID,ACCOUNT,LONG_NAME,ACCOUNTSOURCENAME,IsPrimaryAccount,Source,NAVColumnName,ShowAccount
80187,UTAF25890002,UTA TEMP AC139,Mellon,TRUE,DW,NAV,0
86726,UTAF24850002,Farallon Asia II,Mellon,TRUE,DW,NAV,0
80067,UTAF25870002,UTA TEMP AC137,Mellon,TRUE,DW,NAV,0
86606,UTAF24830002,Oz Credit Opp,Mellon,TRUE,DW,NAV,0
79947,UTAF25850002,UTA TEMP AC135,Mellon,TRUE,DW,NAV,0
79887,UTAF25840002,UTA TEMP AC134,Mellon,TRUE,DW,NAV,0
86426,UTAF24800002,Janchor,Mellon,TRUE,DW,NAV,0
79827,UTAF25830002,UTA TEMP AC133,Mellon,TRUE,DW,NAV,0
79767,UTAF25820002,UTA TEMP AC132,Mellon,TRUE,DW,NAV,0
79707,UTAF25810002,UTA TEMP AC131,Mellon,TRUE,DW,NAV,0
79647,UTAF25800002,UTA TEMP AC130,Mellon,TRUE,DW,NAV,0
79587,UTAF25790002,BOR UTA TEMP AC129,Mellon,TRUE,DW,NAV,0
79527,UTAF25780002,BOR UTA TEMP AC128,Mellon,TRUE,DW,NAV,0
79467,UTAF25770002,BOR UTA TEMP AC127,Mellon,TRUE,DW,NAV,0
86006,UTAF24740002,Farallon Asia,Mellon,TRUE,DW,NAV,0
79407,UTAF25760002,BOR UTA TEMP AC126,Mellon,TRUE,DW,NAV,0
79347,UTAF25750002,BOR UTA TEMP AC125,Mellon,TRUE,DW,NAV,0
85886,UTAF24722002,Deerfield PD III,Mellon,TRUE,DW,NAV,0
79287,UTAF25740002,BOR UTA TEMP AC124,Mellon,TRUE,DW,NAV,0
85826,UTAF24721002,Deerfield PD II,Mellon,TRUE,DW,NAV,0
79227,UTAF25730002,BOR UTA TEMP AC123,Mellon,TRUE,DW,NAV,0
79167,UTAF25720002,BOR UTA TEMP AC122,Mellon,TRUE,DW,NAV,0
79107,UTAF25710002,BOR UTA TEMP AC121,Mellon,TRUE,DW,NAV,0
79047,UTAF25700002,BOR UTA TEMP AC120,Mellon,TRUE,DW,NAV,0
78987,UTAF25690002,BOR UTA TEMP AC119,Mellon,TRUE,DW,NAV,0
78927,UTAF25680002,BOR UTA TEMP AC118,Mellon,TRUE,DW,NAV,0
85466,UTAF24670002,Valiant,Mellon,TRUE,DW,NAV,0
78867,UTAF25670002,BOR UTA TEMP AC117,Mellon,TRUE,DW,NAV,0
78807,UTAF25660002,BOR UTA TEMP AC116,Mellon,TRUE,DW,NAV,0
78747,UTAF25650002,BOR UTA TEMP AC115,Mellon,TRUE,DW,NAV,0
78687,UTAF25640002,BOR UTA TEMP AC114,Mellon,TRUE,DW,NAV,0
78567,UTAF25620002,BOR UTA TEMP AC112,Mellon,TRUE,DW,NAV,0
85106,UTAF24610002,Baupost,Mellon,TRUE,DW,NAV,0
78447,UTAF25600002,BOR UTA TEMP AC110,Mellon,TRUE,DW,NAV,0
84986,UTAF24590002,Centerbridge,Mellon,TRUE,DW,NAV,0
78387,UTAF25590002,BOR UTA TEMP AC109,Mellon,TRUE,DW,NAV,0
78327,UTAF25580002,BOR UTA TEMP AC108,Mellon,TRUE,DW,NAV,0
78267,UTAF25570002,BOR UTA TEMP AC107,Mellon,TRUE,DW,NAV,0
78207,UTAF25560002,BOR UTA TEMP AC106,Mellon,TRUE,DW,NAV,0
78147,UTAF25550002,BOR UTA TEMP AC105,Mellon,TRUE,DW,NAV,0
78087,UTAF25540002,BOR UTA TEMP AC104,Mellon,TRUE,DW,NAV,0
