FactReturnsID,DimAccountID,SHORT_NAME,SUBGROUP,SEGMENT,CATEGORY,SECTOR,LEVEL4,SECASE_NAME,PRELNK_AS_OF_DATE,MONTH,QUARTER,SIX_MONTH,FISCAL_YTD,YTD,YEAR_1,YEAR_2,YEAR_3,YEAR_4,YEAR_5,YEAR_7,YEAR_10,YEAR_15,YEAR_20,SINCE_INCEPTION,INCEPTION_DATE,AdjustedBegMV,TOT_MARKET_VALUE,NAV,Source,Created_Date,Updated_Date,Execution_ID,Created_By,Updated_By,FinalNAV,CustodianMarketValue
985434,13000,FT Corp 10+,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-8.7831,-8.5466,-20.0912,,-28.9292,-28.2767,-14.1207,-6.6792,-0.6003,-0.9699,1.8536,1.8947,4.8869,5.3693,8.2511,,21629919801,19823606674,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1077847,12283,BB Eur-Agg Corp Util,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-3.4458,-3.4461,-11.1615,,-16.2496,-16.7057,-8.3951,-5.4924,-2.5093,-2.0612,-0.422,1.1709,3.0301,3.3981,3.5586,,1746410000,1724380000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1084923,11261,BB Global Treasury,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-5.2277,-7.5719,-16.0404,,-21.2666,-22.0475,-12.8907,-7.0467,-3.4716,-3.0578,-1.2735,-1.8093,0.8858,2.3888,4.6721,,312102000000,296435000000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1077550,9344,BB CMBS,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-3.0897,-3.8169,-6.5887,,-11.7811,-12.3549,-5.9161,-2.1153,0.8746,0.6506,1.2105,1.6431,3.4321,3.5629,4.8633,,4990050000,4747490000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
873520,8016,BB G/C Hi Qlty Long Term,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-7.956,-9.4605,-20.1273,,-28.6504,-26.6347,-18.1423,-8.1655,-0.9986,-1.4445,0.0425,0.8428,4.0434,4.1992,7.3167,,23149220000,21573910000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1069630,6944,FTW EuroZone,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-6.3976,-4.8184,-14.5671,,-22.1386,-17.8105,3.9225,0.2463,1.3472,1.1823,4.4712,7.039,2.2917,6.5039,2.5077,,35930735453,34114891574,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
922250,6579,FT Lrg Pension Fd Bd,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-6.5839,-7.2939,-14.9731,,-21.9963,-21.2104,-12.5675,-5.5837,-0.5692,-0.9079,0.4457,0.9701,3.6385,3.945,7.5038,,131491000000,123870000000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
898306,3399,BB Municipal 5 Yr,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-2.8014,-2.712,-3.1244,,-8.0639,-8.0286,-3.5819,-0.9407,0.7549,0.4825,0.9284,1.2025,2.6876,2.7738,4.456,,1504370000,1436330000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
948267,2091,FT Portugal WldGv EUR,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-3.2303,-4.2756,-9.9172,,-14.8256,-15.5306,-7.8438,-5.0464,-1.0741,0.084,1.0432,5.0168,4.3391,4.1888,4.2905,,1566474583,1515873896,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1084147,1844,FT EuroBig 7-10 Yrs,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-4.68,-5.6726,-13.3175,,-18.9783,-19.6881,-10.6091,-7.0797,-2.7953,-2.2151,-0.7595,1.5797,3.1953,3.5036,3.7042,,19001152477,17940426863,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1081873,226,BB Glb Inflation Linked,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-8.2127,-9.9571,-22.5518,,-25.9771,-23.9703,-10.7124,-5.0348,-2.1184,-1.813,-0.3217,-0.2145,1.6787,3.5153,4.5585,,27525280000,25163110000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1085166,223,BB UST Bellwether 5 Y C,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,0.2613,0.7653,1.4269,,1.7946,2.0742,1.3118,1.1708,1.4602,1.6571,1.623,1.5285,1.7042,2.2469,5.1756,,446060000,441560000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
883124,101164,SP LGMDC North America,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-9.0003,-4.7626,-20.5657,,-24.4663,-16.8559,3.9683,7.936,7.0222,8.993,11.1029,11.3377,7.8563,9.6097,9.6724,,354186000000,320659000000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
952286,100515,MSCI Small Cap EMU Net C^,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-11.8218,-15.1904,-30.646,,-36.484,-35.7743,-6.0456,-2.1952,-3.4292,-3.0011,3.2146,6.4844,1.4679,8.8473,6.2696,,4569504297,3996892078,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1031179,99673,MSCI Nordic Comp^,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-10.9907,-10.4258,-24.7184,,-32.029,-28.4207,-3.3867,4.8818,2.2762,2.114,5.3761,6.0367,2.5157,9.9472,9.1623,,10888468283,9619401321,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1018885,99075,SPCG EMI Asia Pac V Cmp,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-10.4951,-6.9976,-19.9336,,-22.8339,-26.0263,-5.0003,-2.0285,-4.088,-2.4892,2.5509,3.4926,1.634,7.4341,5.8921,,5831354485,5121292887,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
901548,95285,MSCIWldX-UKUS$HIdxPrRtn,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-8.4969,-4.6119,-18.9308,,-23.1888,-16.9982,3.0021,5.0357,4.2445,5.6681,7.5539,8.3924,3.8165,6.5411,5.7002,,485837000000,438552000000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
