DimInvestmentID,Investment Regime,Asset Class,Sub Asset Class,SubAssetClassNew,AssetClassNew,Original_AssetClass,Original_SubAssetClass,SortOrder_Regime,SortOrder_AssetClass,SortOrder_SubAssetClass,IsAssetClass Total,IsConsolidation Account,IsRegime Total,IsSubassetClass Total,Name,IsAssetClassTotal,IsConsolidationAccount,InvestmentManagerID,IsRegimeTotal,IsSubassetClass_Total
24277,Global Equity,Developed Markets Public Equity,U.S. Public Equity,U.S. Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,U.S. Public Equity,1,1,1,0,0,0,0,Marshall Wace US LO,0,0,Marshall Wace,0,0
23557,Global Equity,Developed Markets Public Equity,U.S. Public Equity,U.S. Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,U.S. Public Equity,1,1,1,0,0,0,0,CCL DM Portable Alpha,0,0,CCL,0,0
22887,Global Equity,Developed Markets Public Equity,U.S. Public Equity,U.S. Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,U.S. Public Equity,1,1,1,0,0,0,0,MBA Fund,0,0,MBA Fund,0,0
22685,Global Equity,Developed Markets Public Equity,U.S. Public Equity,U.S. Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,U.S. Public Equity,1,1,1,0,0,0,0,WhiteSpruce,0,0,BlueSpruce,0,0
21932,Global Equity,Developed Markets Public Equity,U.S. Public Equity,U.S. Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,U.S. Public Equity,1,1,1,0,0,0,0,Fidelity Fusion AE Dockside,0,0,Fidelity,0,0
21058,Global Equity,Developed Markets Public Equity,Non-U.S. Developed Public Equity,Non-U.S. Developed Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,Non-U.S. Developed Public Equity,1,1,2,0,0,0,0,GSAM Intl Flex,0,0,GSAM,0,0
20176,Global Equity,Developed Markets Public Equity,U.S. Public Equity,U.S. Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,U.S. Public Equity,1,1,1,0,0,0,0,Janus Henderson with Hedge,0,0,Janus Henderson,0,0
19527,Global Equity,Developed Markets Public Equity,U.S. Public Equity,U.S. Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,U.S. Public Equity,1,1,1,0,0,0,0,Microcap Hedge RU20INTR,0,0,US Microcap Hedge,0,0
19347,Global Equity,Developed Markets Public Equity,U.S. Public Equity,U.S. Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,U.S. Public Equity,1,1,1,0,0,0,0,Janus Bio Hedge SPSIBITR,0,0,Janus Bio Hedge,0,0
18987,Global Equity,Developed Markets Public Equity,U.S. Public Equity,U.S. Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,U.S. Public Equity,1,1,1,0,0,0,0,Voleon US 150-50,0,0,Voleon Capital,0,0
