DimInvestmentID,DimAccountID,InvestmentManagerID,Name,AssetClass,SubAssetClass,InvestmentRegime,Original_AssetClass,Original_SubAssetClass,IsPrimaryAccount,AsOfDate,NAV,Twr1Month,Twr3Month,Twr1Year,Twr3Year,Twr5Year,Twr10Year,TwrFytd,TwrYtd,TwrInceptionInvested,TwrSince98,TwrCompYtd,SINCE_INCEPTION,INCEPTION_DATE,AdjustedBegMV,TOT_MARKET_VALUE,SortOrder_Regime,SortOrder_AssetClass,SortOrder_SubAssetClass,SortOrder,IsRegimeTotal,IsAssetClassTotal,IsConsolidationAccount,IsSubassetClass_Total,TargetAllocation,DimPortfolioID,CustodianMarketValue
24313,952,AKO,AKO Global LO,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,Developed Markets Public Equity,Global Developed Public Equity,TRUE,30-09-2022 00:00:00,206839961,-0.098625,-0.085016,-0.272284,0.008581,,,-0.098625,-0.328994,0.050025,,1,5.0025,,229471536.8,206839960.7,1,1,3,10430,0,0,0,0,20.1,12,
16573,116057,TPG Capital,TPG LO,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,Developed Markets Public Equity,Global Developed Public Equity,TRUE,30-09-2022 00:00:00,157926700,-0.09118,-0.054431,-0.179585,0.020365,,,-0.09118,-0.206417,0.019555,,1,1.9555,,173771233.9,157926700.3,1,1,3,10772,0,0,0,0,20.1,12,
9627,90558,Tiger Global,Tiger Global LO,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,Developed Markets Public Equity,Global Developed Public Equity,TRUE,30-09-2022 00:00:00,47184899,-0.078952,-0.025193,-0.702319,-0.154938,,,-0.078952,-0.645771,-0.102367,,1,-10.2367,,51229716.33,47184898.94,1,1,3,11392,0,0,0,0,20.1,12,
10236,90498,East Bridge Capital,East Bridge India,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,48069328,-0.063667,0.099238,-0.216986,0.056655,,,-0.063667,-0.208315,-0.032427,,1,-3.2427,,51337870.75,48069327.89,1,2,5,17662,0,0,0,0,7,12,
1993,110117,Hillhouse,Hillhouse Gaoling,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,132214575,-0.091101,-0.146609,-0.347572,0.039063,,,-0.091101,-0.290435,0.116988,,1,,,145466759.9,132214575,1,2,5,15923,0,0,0,0,7,12,
3969,3413,UTIMCO,Total Directional Hedge,Directional Hedge Funds,Directional Hedge Funds,Global Equity,Directional Hedge Funds,,TRUE,30-09-2022 00:00:00,1282711936,-0.024083,0.0057,-0.127558,0.059152,,,-0.024083,-0.124953,0.055852,,0,5.5852,,1297303905,1282711936,1,4,,21706,0,1,1,0,6.38,12,
6345,117137,Echo Street,Echo Street Select Plus,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,12565491,-0.094982,-0.040633,-0.326383,,,,-0.094982,-0.34267,-0.123196,,1,-12.3196,,13884247.5,12565490.64,1,1,1,4916,0,0,0,0,20.1,12,
1961,117017,Echo Street,Echo Street Select,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,50236304,-0.097907,-0.051179,-0.319413,,,,-0.097907,-0.336997,-0.122389,,1,-12.2389,,55688638.97,50236303.66,1,1,1,3540,0,0,0,0,20.1,12,
10718,116597,PIMCO,PIMCO StocksPlus,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,157249513,-0.084933,-0.064091,-0.203181,,,,-0.084933,-0.274589,0.019997,,1,1.9997,,171844894.7,157249512.6,1,1,1,2069,0,0,0,0,20.1,12,
10473,117197,"Texas McCombs Investment Advisers, LLC",UT Longhorn Fund,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,2580515,-0.095893,-0.052666,-0.195145,,,,-0.095893,-0.262325,-0.056437,,1,-5.6437,,2854213.83,2580515.37,1,1,1,5824,0,0,0,0,20.1,12,
6817,116117,Marshall Wace,Marshall Wace US 150-50,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,201771180,-0.092762,-0.049898,-0.161467,,,,-0.092762,-0.243118,0.075694,,1,7.5694,,222401498.2,201771180.4,1,1,1,1574,0,0,0,0,20.1,12,
3293,117317,Texas A&M University,TAMU Reveille Fund,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,2610356,-0.089084,-0.052963,-0.176399,,,,-0.089084,-0.248322,-0.054044,,1,-5.4044,,2865638.55,2610356.15,1,1,1,5819,0,0,0,0,20.1,12,
2026,116717,Two Sigma,Two Sigma US 130-30,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,150473338,-0.082161,-0.032916,-0.141715,,,,-0.082161,-0.20178,0.038799,,1,3.8798,,154343741.7,150473338.5,1,1,1,2163,0,0,0,0,20.1,12,
10567,107237,UTIMCO,Indus Japan Forward,Developed Markets Public Equity,Non-U.S. Developed Public Equity,Global Equity,Developed Markets Public Equity,Non-U.S. Developed Public Equity,TRUE,30-09-2022 00:00:00,9553880,0.135704,0.251475,121.664335,,,,0.135704,44.81054,,,1,,,8412300.57,9553879.86,1,1,2,8656,0,0,0,0,20.1,12,
6277,116177,Marshall Wace,Marshall Wace World,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,Developed Markets Public Equity,Global Developed Public Equity,TRUE,30-09-2022 00:00:00,104367880,-0.092886,-0.061545,-0.184168,,,,-0.092886,-0.227492,0.064303,,1,6.2295,,115054809,104367879.6,1,1,3,10973,0,0,0,0,20.1,12,
4881,116897,GQG Partners,GQG Global,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,Developed Markets Public Equity,Global Developed Public Equity,TRUE,30-09-2022 00:00:00,227131037,-0.090923,-0.104349,-0.111969,,,,-0.090923,-0.154931,-0.001392,,1,-0.1392,,249847976.1,227131036.7,1,1,3,10302,0,0,0,0,20.1,12,
1738,89058,Generation,Generation Global,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,Developed Markets Public Equity,Global Developed Public Equity,TRUE,30-09-2022 00:00:00,77195582,-0.100542,-0.078453,-0.324772,,,,-0.100542,-0.350797,-0.324772,,1,-32.4772,,85824583.16,77195581.95,1,1,3,11053,0,0,0,0,20.1,12,
