DimAccountID,ACCOUNT,LONG_NAME,ACCOUNTSOURCENAME,Source,IsPrimaryAccount,NAVColumnName,ShowAccount,IsHedgeFund
10435,UTAF25590002,BOR UTA DEERFIELD PD,,HistoricalLoad,TRUE,NAV,0,1
10375,UTAF25580002,DE SHAW ALKALI V OFF,,HistoricalLoad,TRUE,NAV,0,1
10315,UTAF25570002,DE SHAW ALKALI V ONS,,HistoricalLoad,TRUE,NAV,0,1
10255,UTAF25560002,TPG TPEP HF,,HistoricalLoad,TRUE,NAV,0,1
10195,UTAF25550002,TWO SIGMA ABS RTN FD,,HistoricalLoad,TRUE,NAV,0,1
10135,UTAF25540002,ExodusPoint Offshore,,HistoricalLoad,TRUE,NAV,0,1
10075,UTAF25530002,ExodusPoint Onshore,,HistoricalLoad,TRUE,NAV,0,1
10015,UTAF25520002,Junto Offshore,,HistoricalLoad,TRUE,NAV,0,1
9955,UTAF25510002,HIGHBRIDGE TACT CR,,HistoricalLoad,TRUE,NAV,0,1
9895,UTAF25500002,DEERFIELD PR ONSHORE,,HistoricalLoad,TRUE,NAV,0,1
9835,UTAF25490002,ELLIOTT ASSOC LP,,HistoricalLoad,TRUE,NAV,0,1
9715,UTAF25470002,SILVER PNT SP CR II,,HistoricalLoad,TRUE,NAV,0,1
9475,UTAF25430002,BROOKDALE GBL OPP,,HistoricalLoad,TRUE,NAV,0,1
9415,UTAF25420002,HOLOCENE ADVISORS FD,,HistoricalLoad,TRUE,NAV,0,1
9355,UTAF25410002,HOLOCENE ADVISORS FD,,HistoricalLoad,TRUE,NAV,0,1
9295,UTAF25400002,DE SHAW COMPOSITE FD,,HistoricalLoad,TRUE,NAV,0,1
9175,UTAF25380002,DE SHAW ALKALI,,HistoricalLoad,TRUE,NAV,0,1
8995,UTAF25350002,MILLENIUM INT'L,,HistoricalLoad,TRUE,NAV,0,1
8935,UTAF25340002,MILLENIUM,,HistoricalLoad,TRUE,NAV,0,1
8875,UTAF25330002,JUNIPERUS,,HistoricalLoad,TRUE,NAV,0,1
8815,UTAF25320002,Pillar TX,,HistoricalLoad,TRUE,NAV,0,1
8635,UTAF25290002,Hampden Insurance PR,,HistoricalLoad,TRUE,NAV,0,1
8575,UTAF25280002,D1 HF,,HistoricalLoad,TRUE,NAV,0,1
8455,UTAF25260002,FSSF,,HistoricalLoad,TRUE,NAV,0,1
8335,UTAF25240002,Contrarian EM II,,HistoricalLoad,TRUE,NAV,0,1
8275,UTAF25230002,Varde Mortgage II,,HistoricalLoad,TRUE,NAV,0,1
8035,UTAF24800002,JANCHOR HF,,HistoricalLoad,TRUE,NAV,0,1
7795,UTAF24670002,Valiant Capital Partners,,HistoricalLoad,TRUE,NAV,0,1
7435,UTAF24610002,Baupost Value Partners,,HistoricalLoad,TRUE,NAV,0,1
7315,UTAF24590002,Centerbridge Credit Partners,,HistoricalLoad,TRUE,NAV,0,1
6475,UTAF24290002,Moon Capital,,HistoricalLoad,TRUE,NAV,0,1
81687,UTAF26140002,UTA TEMP AC163,Mellon,DW,TRUE,NAV,0,1
81627,UTAF26130002,UTA TEMP AC162,Mellon,DW,TRUE,NAV,0,1
88166,UTAF25070002,Farallon Overflow,Mellon,DW,TRUE,NAV,0,1
81567,UTAF26120002,UTA TEMP AC161,Mellon,DW,TRUE,NAV,0,1
81507,UTAF26110002,Tourmalet,Mellon,DW,TRUE,NAV,0,1
81387,UTAF26090002,UTA TEMP AC159,Mellon,DW,TRUE,NAV,0,1
81327,UTAF26080002,UTA TEMP AC158,Mellon,DW,TRUE,NAV,0,1
81267,UTAF26070002,UTA TEMP AC157,Mellon,DW,TRUE,NAV,0,1
81207,UTAF26060002,UTA TEMP AC156,Mellon,DW,TRUE,NAV,0,1
87746,UTAF25000002,Two Creeks,Mellon,DW,TRUE,NAV,0,1
81147,UTAF26050002,UTA TEMP AC155,Mellon,DW,TRUE,NAV,0,1
81087,UTAF26040002,UTA TEMP AC154,Mellon,DW,TRUE,NAV,0,1
81027,UTAF26030002,UTA TEMP AC153,Mellon,DW,TRUE,NAV,0,1
80967,UTAF26020002,UTA TEMP AC152,Mellon,DW,TRUE,NAV,0,1
80907,UTAF26010002,UTA TEMP AC151,Mellon,DW,TRUE,NAV,0,1
80847,UTAF26000002,UTA TEMP AC150,Mellon,DW,TRUE,NAV,0,1
80787,UTAF25990002,UTA TEMP AC 149  ,Mellon,DW,TRUE,NAV,0,1
87326,UTAF24930002,Hengistbury,Mellon,DW,TRUE,NAV,0,1
80727,UTAF25980002,UTA TEMP AC 148    ,Mellon,DW,TRUE,NAV,0,1
80667,UTAF25970002,UTA TEMP AC 147    ,Mellon,DW,TRUE,NAV,0,1
80607,UTAF25960002,UTA TEMP AC 146 ,Mellon,DW,TRUE,NAV,0,1
80547,UTAF25950002,UTA TEMP AC 145    ,Mellon,DW,TRUE,NAV,0,1
80487,UTAF25940002,UTA TEMP AC 144   ,Mellon,DW,TRUE,NAV,0,1
